receive_msg_num, send_msg_num, msg_type, msg_priority, msg_start_time(ts), msg_end_time(ts), msg_trans_time(ns)
3176, 895, c, 2, 1700669969.364935864, 1700669969.381074038,16138174
3177, 862, a, 6, 1700669969.371449170, 1700669969.393412315,21963145
3178, 947, d, 0, 1700669969.379674456, 1700669969.407107151,27432695
3179, 948, d, 0, 1700669969.414184931, 1700669969.427973793,13788862
3180, 896, c, 2, 1700669969.399437218, 1700669969.441257144,41819926
3181, 863, a, 6, 1700669969.405954252, 1700669969.452872120,46917868
3182, 949, d, 0, 1700669969.448607391, 1700669969.463760604,15153213
3183, 897, c, 2, 1700669969.433868573, 1700669969.476182130,42313557
3184, 864, a, 6, 1700669969.440430218, 1700669969.488964065,48533847
3185, 950, d, 0, 1700669969.483158963, 1700669969.501798531,18639568
3186, 898, c, 2, 1700669969.474113675, 1700669969.512938867,38825192
3187, 865, a, 6, 1700669969.487375209, 1700669969.525498848,38123639
3188, 951, d, 0, 1700669969.517688665, 1700669969.534699417,17010752
3189, 889, b, 4, 1700669969.497230403, 1700669969.541145765,43915362
3190, 899, c, 2, 1700669969.509477589, 1700669969.551353378,41875789
3191, 866, a, 6, 1700669969.523052158, 1700669969.565640887,42588729
3192, 952, d, 0, 1700669969.552138626, 1700669969.579441770,27303144
3193, 900, c, 2, 1700669969.545769046, 1700669969.591580580,45811534
3194, 953, d, 0, 1700669969.586610963, 1700669969.605485186,18874223
3195, 891, b, 4, 1700669969.574031893, 1700669969.619512958,45481065
3196, 901, c, 2, 1700669969.584307002, 1700669969.633167135,48860133
3197, 954, d, 0, 1700669969.621073866, 1700669969.645058290,23984424
3198, 892, b, 4, 1700669969.612886329, 1700669969.658124927,45238598
3199, 955, d, 0, 1700669969.655536137, 1700669969.671773852,16237715
3200, 869, a, 6, 1700669969.640432512, 1700669969.682755970,42323458
3201, 893, b, 4, 1700669969.652301043, 1700669969.687226473,34925430
3202, 903, c, 2, 1700669969.666239713, 1700669969.696042282,29802569
